aditiv;resist
0.53;3.602
0.7;4.378
0.74;4.207
0.18;1.619
0.82;4.577
0.73;4.188
0.41;2.963
0.53;3.834
0.47;3.578
0.49;3.951
0.8;4.359
0.58;4.144
0.29;2.393
0.86;4.806
0.77;4.552
0.69;3.985
0.59;4.24
0.4;3.686
0.61;3.587
0.38;3.321
0.92;4.644
0.77;4.477
0.82;4.335
0.36;3.154
0.37;2.91
0.35;2.93
0.57;4.158
0.41;3.344
0.65;4.099
0.99;4.998
0.47;3.272
0.76;4.44
0.97;4.757
0.72;4.362
0.98;5.011
0.28;2.605
0.92;4.704
0.33;2.81
0.45;3.725
0.75;4.715
0.49;3.415
0.26;2.216
0.46;3.333
0.71;3.965
0.72;4.344
