City;Annual;Amplitude;Latitude;Longitude;Area
Amsterdam ;9.9;14.6;52.2;4.5;West
Athens ;17.8;18.3;37.6;23.5;South
Berlin ;9.1;18.5;52.3;13.2;West
Brussels;10.3;14.4;50.5;4.2;West
Budapest ;10.9;23.1;47.3;19;East
Copenhagen ;7.8;17.5;55.4;12.3;North
Dublin ;9.3;10.2;53.2;6.1;North
Elsinki;4.8;23.4;60.1;25;North
Kiev ;7.1;25.3;50.3;30.3;East
Krakow ;7.7;22.1;50;19.6;East
Lisbon ;15.9;11.4;38.4;9.1;South
London ;9.7;13.5;51.4;0;North
Madrid ;13.9;19.7;40.2;3.4;South
Minsk ;5.5;24.3;53.5;27.3;East
Moscow;5.1;27.6;55.7;37.6;East
Oslo ;5.6;21.2;59.5;10.5;North
Paris ;11.2;15.3;48.5;2.2;West
Prague ;9.2;20.6;50;14.2;East
Reykjavik ;4.6;11.4;64.1;21.6;North
Rome ;15.4;17.3;41.5;12.3;South
Sarajevo ;9.4;20.3;43.5;18.3;South
Sofia ;9.6;21.7;42.4;23.2;East
Stockholm ;5.8;20.7;59.2;18;North
